2025-05-15 04:43:42.302,LAQRA,"Process App Status: ACTIVE"
2025-05-15 04:43:42.309,TCP_CMD10H,"COMMAND 10H DATA ----------------------->>>>> : address 192.168.254.47 Reader Screen Number: 1F	data　section: 0000000000000000000000000000001F1F1AFFFFFFFF000000FFFF000000000000FFFFFFFFFFFF000000FFFFFFFFFFFF000000000D0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Timeout: 0000"
2025-05-15 04:43:42.309,BrightnessController,"Got message from the Broadcast of Brightness Controller with message: CHANGE_BRIGHTNESS_BY_DOOR_SIGNAL"
2025-05-15 04:43:42.310,TCP_PERIODIC,"Communicating to 192.168.254.47:51002 command 10 in Thread : Thread-19"
2025-05-15 04:43:42.323,TCP_PERIODIC,"successfully communicated with /192.168.254.47:51002"
2025-05-15 04:43:47.305,PAYMENT,"Send request to show door close screen"
2025-05-15 04:43:47.307,PAYMENT,"Send request to show door close screen"
2025-05-15 04:43:47.313,TCP_CMD10H,"COMMAND 10H DATA ----------------------->>>>> : address 192.168.254.47 Reader Screen Number: 1F	data　section: 0000000000000000000000000000001F1F1AFFFFFFFF000000FFFF000000000000FFFFFFFFFFFF000000FFFFFFFFFFFF000000000D0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Timeout: 0000"
2025-05-15 04:43:47.314,TCP_PERIODIC,"Communicating to 192.168.254.47:51002 command 10 in Thread : Thread-22"
2025-05-15 04:43:47.315,ReaderRequestController,"Send to reader with the command of screen number: 1F done   "
2025-05-15 04:43:47.322,TCP_PERIODIC,"successfully communicated with /192.168.254.47:51002"
2025-05-15 04:43:47.326,TCP_CMD10H,"COMMAND 10H DATA ----------------------->>>>> : address 192.168.254.48 Reader Screen Number: 1F	data　section: 0000000000000000000000000000001F1F1AFFFFFFFF000000FFFF000000000000FFFFFFFFFFFF000000FFFFFFFFFFFF000000000D0A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Timeout: 0000"
2025-05-15 04:43:47.327,ReaderRequestController,"Send to reader with the command of screen number: 1F done   "
2025-05-15 04:43:47.327,TCP_PERIODIC,"Communicating to 192.168.254.48:51002 command 10 in Thread : Thread-11"
2025-05-15 04:43:47.340,TCP_PERIODIC,"successfully communicated with /192.168.254.48:51002"
2025-05-15 12:31:21.409,ScreenControlManager,"外部入力1PIN：扉信号 is received with status true setting value: Hi"
